src_ip,dst_ip,packet_count,flow_duration,avg_packet_size
10.0.0.2,10.0.0.1,1.3862943611198906,0.015873146406611777,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.01587338107058763,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.01587338107058763,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.01587338107058763,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.014888715847612116,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.014888715847612116,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.014888715847612116,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.01587338107058763,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.01587338107058763,4.74493212836325
10.0.0.2,10.0.0.1,1.3862943611198906,0.01587338107058763,4.74493212836325
192.168.2.102,193.99.144.80,1.0986122886681098,0.007073834526060392,4.59511985013459
192.168.2.102,193.99.144.80,1.0986122886681098,0.008579064970552112,4.59511985013459
80.154.108.228,95.116.124.205,2.0794415416798357,0.037779268925891916,4.31748811353631
80.154.108.228,95.116.124.205,1.0986122886681098,0.08642169335536173,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.11200192577250923,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.08412423587913048,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.033438618445588736,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.04509758540353071,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.09895449992070125,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.08481354564576166,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.09940445038840139,4.59511985013459
80.154.108.228,95.116.124.205,1.0986122886681098,0.05117984839286049,4.59511985013459
80.154.108.228,93.220.202.100,2.0794415416798357,0.007716135129667942,4.31748811353631
80.154.108.228,93.220.202.100,1.0986122886681098,0.006956642351001674,4.59511985013459
80.154.108.228,93.220.202.100,1.0986122886681098,0.007227702385593337,4.59511985013459
80.154.108.228,93.220.202.100,1.0986122886681098,0.01932098059122607,4.59511985013459
80.154.108.228,93.220.202.100,1.0986122886681098,0.006966586462726218,4.59511985013459
80.154.108.228,93.220.202.100,1.0986122886681098,0.007224861962682768,4.59511985013459
