flow_id,iat,packet_length,direction,tcp_flags
0,0,74,0,2
0,0.0012428760528564453,74,1,18
0,2.5987625122070312e-05,66,0,16
0,0.0001289844512939453,361,0,24
0,0.0004911422729492188,66,1,16
0,0.004539966583251953,2962,1,16
0,2.5033950805664062e-05,66,0,16
0,1.5974044799804688e-05,752,1,24
0,1.0013580322265625e-05,66,0,16
0,0.012125968933105469,192,0,24
0,0.0016469955444335938,324,1,24
0,0.0003509521484375,166,0,24
0,0.011072158813476562,263,1,24
0,1.0013580322265625e-05,66,1,17
0,5.2928924560546875e-05,97,0,24
0,1.6927719116210938e-05,66,0,17
0,0.0004780292510986328,66,1,16
1,0,118,0,2
1,0.0010111331939697266,106,1,18
1,0.036366939544677734,94,0,16
1,0.008371114730834961,611,0,24
1,0.0012497901916503906,94,1,16
1,0.0927422046661377,1484,1,16
1,0.00022792816162109375,1484,1,16
1,9.5367431640625e-07,475,1,24
1,0.05939888954162598,94,0,16
1,1.1920928955078125e-06,94,0,16
1,0.00812387466430664,94,0,16
1,0.010370969772338867,220,0,24
1,0.0006480216979980469,94,1,16
1,0.015100955963134766,145,1,24
1,0.033747196197509766,94,0,16
1,0.008246898651123047,581,0,24
1,0.009885072708129883,1319,1,24
1,0.0319979190826416,94,0,16
1,1.071990966796875,125,0,24
1,9.5367431640625e-07,94,0,17
1,0.0012149810791015625,125,1,24
1,1.1920928955078125e-06,94,1,17
1,0.059123992919921875,94,0,4
1,1.9073486328125e-06,94,0,4
2,0,118,0,2
2,0.0008509159088134766,106,1,18
2,0.03652596473693848,94,0,16
2,0.016227006912231445,611,0,24
2,0.0013990402221679688,94,1,16
2,0.08662009239196777,1484,1,16
2,0.0002288818359375,1484,1,16
2,9.5367431640625e-07,475,1,24
2,0.05739712715148926,94,0,16
2,9.5367431640625e-07,94,0,16
2,0.008228063583374023,94,0,16
2,0.020000934600830078,220,0,24
2,0.0007128715515136719,94,1,16
2,0.015000104904174805,145,1,24
2,0.0391850471496582,94,0,16
2,0.016182899475097656,511,0,24
