src_ip,dst_ip,src_port,dst_port,flow_duration,packet_count,total_bytes,avg_packet_size
192.168.110.10,80.237.133.136,1152,80,5.300276041030884,12,2504,208.66666666666666
192.168.110.9,80.237.133.136,43625,80,0.3771209716796875,10,1145,114.5
192.168.7.1,192.168.7.12,57933,80,0.07822799682617188,7,462,66.0
216.66.80.30,193.24.227.12,60075,80,2.2276699542999268,10,2619,261.9
216.66.80.30,193.24.227.12,60076,80,1.1390831470489502,15,6561,437.4
216.66.80.30,193.24.227.12,55033,80,0.09720396995544434,10,4123,412.3
192.168.173.5,194.247.5.23,58482,80,4.355988025665283,10,1493,149.3
