flow_id,iat,packet_length,direction,tcp_flags
0,0.0,66,0,2
0,0.04644298553466797,66,1,18
0,5.793571472167969e-05,60,0,16
1,0.0,66,0,2
1,0.015339136123657227,66,1,18
1,8.893013000488281e-05,60,0,16
2,0.0,74,0,2
2,0.09477090835571289,74,1,18
2,5.698204040527344e-05,66,0,16
3,0.0,66,0,2
3,0.023787975311279297,66,1,18
3,0.000102996826171875,60,0,16
4,0.0,66,0,2
4,0.02342510223388672,66,1,18
4,9.679794311523438e-05,60,0,16
5,0.0,66,0,2
5,0.023785114288330078,66,1,18
5,7.486343383789062e-05,60,0,16
6,0.0,66,0,2
6,0.023622989654541016,66,1,18
6,6.29425048828125e-05,60,0,16
7,0.0,66,0,2
7,0.023177146911621094,66,1,18
7,5.3882598876953125e-05,60,0,16
8,0.0,66,0,2
8,0.02221202850341797,66,1,18
8,7.700920104980469e-05,60,0,16
9,0.0,66,0,2
9,0.02351093292236328,66,1,18
9,6.699562072753906e-05,60,0,16
10,0.0,66,0,2
10,0.0152587890625,66,1,18
10,6.604194641113281e-05,60,0,16
11,0.0,66,0,2
11,0.040808916091918945,66,1,18
11,3.790855407714844e-05,60,0,16
12,0.0,66,0,2
12,0.01530313491821289,66,1,18
12,9.799003601074219e-05,60,0,16
13,0.0,66,0,2
13,0.029922962188720703,66,1,18
13,2.7179718017578125e-05,60,0,16
14,0.0,66,0,2
14,0.02376103401184082,66,1,18
14,8.988380432128906e-05,60,0,16
15,0.0,66,0,2
15,0.023581981658935547,66,1,18
15,9.512901306152344e-05,60,0,16
16,0.0,66,0,2
16,0.023747920989990234,66,1,18
16,8.511543273925781e-05,60,0,16
17,0.0,66,0,2
17,0.023375988006591797,66,1,18
17,9.703636169433594e-05,60,0,16
18,0.0,66,0,2
18,0.015166997909545898,66,1,18
18,4.00543212890625e-05,60,0,16
19,0.0,66,0,2
19,0.02326488494873047,66,1,18
19,0.00010609626770019531,60,0,16
20,0.0,66,0,2
20,0.01530003547668457,66,1,18
20,7.200241088867188e-05,60,0,16
21,0.0,66,0,2
21,0.015262126922607422,66,1,18
21,0.00010085105895996094,60,0,16
22,0.0,66,0,2
22,0.023720979690551758,66,1,18
22,4.482269287109375e-05,60,0,16
23,0.0,66,0,2
23,0.023736953735351562,66,1,18
23,3.910064697265625e-05,60,0,16
24,0.0,66,0,2
24,0.023628950119018555,66,1,18
24,8.106231689453125e-05,60,0,16
25,0.0,66,0,2
25,0.08639287948608398,66,1,18
25,5.817413330078125e-05,60,0,16
26,0.0,66,0,2
26,0.023632049560546875,66,1,18
26,7.295608520507812e-05,60,0,16
27,0.0,66,0,2
27,0.02203083038330078,66,1,18
27,6.318092346191406e-05,60,0,16
28,0.0,66,0,2
28,0.023300886154174805,66,1,18
28,7.700920104980469e-05,60,0,16
29,0.0,66,0,2
29,0.02341914176940918,66,1,18
29,6.794929504394531e-05,60,0,16
30,0.0,66,0,2
30,0.023080110549926758,66,1,18
30,8.0108642578125e-05,60,0,16
31,0.0,66,0,2
31,0.02318716049194336,66,1,18
31,3.1948089599609375e-05,60,0,16
32,0.0,66,0,2
32,0.03635287284851074,66,1,18
32,4.9114227294921875e-05,60,0,16
33,0.0,66,0,2
33,0.023138999938964844,66,1,18
33,9.107589721679688e-05,60,0,16
34,0.0,66,0,2
34,0.03673601150512695,66,1,18
34,8.106231689453125e-05,60,0,16
35,0.0,66,0,2
35,0.02359795570373535,66,1,18
35,8.606910705566406e-05,60,0,16
36,0.0,74,0,2
36,0.023633956909179688,74,1,18
36,3.600120544433594e-05,66,0,16
37,0.0,74,0,2
37,0.0230100154876709,74,1,18
37,7.295608520507812e-05,66,0,16
38,0.0,74,0,2
38,0.023418903350830078,74,1,18
38,4.9114227294921875e-05,66,0,16
39,0.0,74,0,2
39,0.0365450382232666,74,1,18
39,4.792213439941406e-05,66,0,16
40,0.0,74,0,2
40,0.03258490562438965,74,1,18
40,3.1948089599609375e-05,66,0,16
41,0.0,74,0,2
41,0.02293705940246582,74,1,18
41,2.7894973754882812e-05,66,0,16
42,0.0,74,0,2
42,0.023069143295288086,74,1,18
42,5.3882598876953125e-05,66,0,16
43,0.0,74,0,2
43,0.03243589401245117,74,1,18
43,5.221366882324219e-05,66,0,16
44,0.0,74,0,2
44,0.03244900703430176,74,1,18
44,6.818771362304688e-05,66,0,16
45,0.0,74,0,2
45,0.02328014373779297,74,1,18
45,0.00010991096496582031,66,0,16
46,0.0,74,0,2
46,0.023038864135742188,74,1,18
46,0.00011515617370605469,66,0,16
47,0.0,74,0,2
47,0.015093088150024414,66,1,18
47,8.797645568847656e-05,60,0,16
48,0.0,74,0,2
48,0.015099048614501953,66,1,18
48,3.1948089599609375e-05,60,0,16
49,0.0,74,0,2
49,0.023726940155029297,74,1,18
49,6.914138793945312e-05,66,0,16
50,0.0,74,0,2
50,0.023215055465698242,74,1,18
50,1.3113021850585938e-05,66,0,16
51,0.0,74,0,2
51,0.03261995315551758,74,1,18
51,6.794929504394531e-05,66,0,16
52,0.0,74,0,2
52,0.03484797477722168,74,1,18
52,6.29425048828125e-05,66,0,16
53,0.0,74,0,2
53,0.022106170654296875,74,1,18
53,2.9802322387695312e-05,66,0,16
54,0.0,74,0,2
54,0.02312302589416504,74,1,18
54,2.6941299438476562e-05,66,0,16
55,0.0,74,0,2
55,0.023305892944335938,74,1,18
55,7.796287536621094e-05,66,0,16
56,0.0,74,0,2
56,0.023290157318115234,74,1,18
56,5.698204040527344e-05,66,0,16
57,0.0,74,0,2
57,0.032946109771728516,74,1,18
57,2.6941299438476562e-05,66,0,16
58,0.0,74,0,2
58,0.032652854919433594,74,1,18
58,2.1457672119140625e-06,66,0,16
59,0.0,74,0,2
59,0.03242015838623047,74,1,18
59,2.384185791015625e-05,66,0,16
60,0.0,74,0,2
60,0.02328181266784668,74,1,18
60,5.91278076171875e-05,66,0,16
61,0.0,74,0,2
61,0.023174047470092773,74,1,18
61,0.000102996826171875,66,0,16
62,0.0,74,0,2
62,0.03242993354797363,74,1,18
62,6.103515625e-05,66,0,16
63,0.0,74,0,2
63,0.03262591361999512,74,1,18
63,5.698204040527344e-05,66,0,16
64,0.0,74,0,2
64,0.03239703178405762,74,1,18
64,6.008148193359375e-05,66,0,16
65,0.0,74,0,2
65,0.02307295799255371,74,1,18
65,6.103515625e-05,66,0,16
