src_ip,dst_ip,packet_count,flow_duration,avg_packet_size
192.168.2.102,192.168.2.1,1.0986122886681098,0.010302693916363686,4.343805421853684
192.168.2.102,192.168.2.1,1.0986122886681098,0.011566955494682658,4.639571612705423
192.168.2.102,192.168.2.1,1.0986122886681098,0.003555644768149306,4.639571612705423
192.168.2.102,192.168.2.1,1.0986122886681098,0.00983842365789315,4.418840607796598
192.168.2.102,192.168.2.1,1.0986122886681098,0.012637768203853957,5.0072963928307415
192.168.2.102,192.168.2.1,1.0986122886681098,0.005600238978319478,5.0072963928307415
192.168.2.102,192.168.2.1,1.0986122886681098,0.00600202090432021,5.0072963928307415
192.168.110.9,194.25.0.68,1.0986122886681098,0.002168686280324572,4.465908118654584
192.168.110.9,194.25.0.68,1.0986122886681098,0.022598711748875986,4.465908118654584
192.168.110.9,194.25.0.68,1.0986122886681098,0.007305337487870423,4.465908118654584
192.168.110.9,194.25.0.68,1.0986122886681098,0.0020590074049726794,4.465908118654584
192.168.110.9,194.25.0.68,1.0986122886681098,0.008036657771186189,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.014262759357934553,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.013806203184662058,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.02939279357797032,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.029795776117105353,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.014755756366700535,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.014113026262186319,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.014618549959415961,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.030464354928583237,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.01419976606223377,4.465908118654584
192.168.110.9,8.8.8.8,1.0986122886681098,0.02650652974242813,4.465908118654584
192.168.110.9,213.61.29.182,1.0986122886681098,0.0035107425854086463,4.919980925828125
192.168.110.9,213.61.29.182,1.0986122886681098,0.0034888847086486626,4.919980925828125
192.168.110.9,213.61.29.182,1.0986122886681098,0.0036931897006015177,4.919980925828125
192.168.110.9,213.61.29.182,1.0986122886681098,0.0031471744812967208,4.919980925828125
