src_ip,dst_ip,packet_count,flow_duration,avg_packet_size
10.0.0.1,10.0.0.2,3,0.016000032424926758,60.0
10.0.0.2,10.0.0.1,3,0.016000032424926758,60.0
10.0.0.1,10.0.0.2,3,0.016000032424926758,60.0
10.0.0.2,10.0.0.1,3,0.016000032424926758,60.0
10.0.0.1,10.0.0.2,5,0.031999826431274414,60.0
192.168.2.1,192.168.2.102,2,7.104873657226562e-05,42.0
192.168.2.1,192.168.2.102,2,5.1021575927734375e-05,42.0
192.168.2.1,192.168.2.102,2,4.506111145019531e-05,42.0
192.168.121.253,192.168.121.2,2,0.004003047943115234,64.0
192.168.7.12,192.168.7.26,2,0.07827997207641602,64.0
192.168.7.5,192.168.7.12,2,2.2172927856445312e-05,64.0
193.24.225.56,193.24.225.1,2,0.00010037422180175781,64.0
193.24.225.56,193.24.225.54,2,0.0006127357482910156,64.0
192.168.42.11,192.168.42.1,2,0.0004525184631347656,72.0
192.168.42.11,192.168.42.1,2,0.0006492137908935547,72.0
192.168.42.11,192.168.42.1,2,0.0006272792816162109,72.0
192.168.42.11,192.168.42.1,2,0.0004112720489501953,72.0
192.168.42.11,192.168.42.1,2,0.0006184577941894531,72.0
192.168.42.11,192.168.42.1,2,0.0003838539123535156,72.0
192.168.42.4,192.168.42.11,2,0.0005576610565185547,72.0
192.168.42.11,192.168.42.1,2,0.0005710124969482422,72.0
192.168.42.11,192.168.42.1,2,0.0004093647003173828,72.0
192.168.42.11,192.168.42.1,2,0.00044345855712890625,72.0
192.168.42.11,192.168.42.1,2,0.00038504600524902344,72.0
192.168.42.11,192.168.42.1,2,0.0005197525024414062,72.0
192.168.42.11,192.168.42.1,2,0.0003952980041503906,72.0
192.168.42.12,192.168.42.1,2,0.0004017353057861328,72.0
192.168.42.4,192.168.42.12,2,0.0005536079406738281,72.0
192.168.42.5,192.168.42.12,2,0.00128173828125,72.0
192.168.42.12,192.168.42.1,2,0.0004658699035644531,72.0
192.168.42.12,192.168.42.1,2,0.00042891502380371094,72.0
192.168.7.17,192.168.7.15,2,1.3113021850585938e-05,51.0
192.168.7.17,192.168.7.15,2,1.1920928955078125e-05,51.0
192.168.7.15,192.168.7.17,2,0.00010013580322265625,51.0
100.84.11.114,100.84.0.1,2,0.004426479339599609,64.0
100.84.11.114,100.84.0.1,2,0.005966663360595703,64.0
100.84.11.114,100.84.0.1,2,0.02588939666748047,64.0
10.23.0.1,10.23.0.2,2,0.0006554126739501953,72.0
