flow_id,iat,packet_length,direction,tcp_flags
0,0,66,0,2
0,0.014876127243041992,66,1,18
0,9.298324584960938e-05,54,0,16
0,0.002502918243408203,365,0,24
0,0.013966083526611328,60,1,16
0,0.25557494163513184,1514,1,16
0,4.0531158447265625e-06,97,1,24
0,5.793571472167969e-05,54,0,16
0,4.999501943588257,60,1,17
0,7.104873657226562e-05,54,0,16
0,0.00014209747314453125,54,0,17
0,0.013485908508300781,60,1,16
1,0,74,0,2
1,0.005903005599975586,74,1,18
1,2.8848648071289062e-05,66,0,16
1,4.410743713378906e-05,139,0,24
1,0.005530834197998047,66,1,16
1,0.35958313941955566,462,1,24
1,2.288818359375e-05,66,0,16
1,8.106231689453125e-06,66,1,17
1,7.891654968261719e-05,66,0,17
1,0.005921125411987305,66,1,16
2,0,78,0,2
2,2.5033950805664062e-05,64,1,18
2,5.9604644775390625e-06,64,0,16
2,1.0013580322265625e-05,64,0,17
2,5.0067901611328125e-06,64,1,16
2,0.07813096046447754,64,1,17
2,5.1021575927734375e-05,64,0,16
3,0,118,0,2
3,0.0008740425109863281,106,1,18
3,0.08262300491333008,94,0,16
3,0.008381128311157227,541,0,24
3,0.001611948013305664,94,1,16
3,0.016757965087890625,1290,1,24
3,0.03708791732788086,94,0,16
3,2.042344093322754,94,0,17
3,0.0008559226989746094,94,1,17
3,0.03713393211364746,94,0,16
4,0,118,0,2
4,0.0009760856628417969,106,1,18
4,0.039772987365722656,94,0,16
4,0.010118961334228516,497,0,24
4,0.0015799999237060547,94,1,16
4,0.0027921199798583984,1484,1,16
4,0.0002338886260986328,1484,1,16
4,9.5367431640625e-07,1484,1,16
4,3.0040740966796875e-05,636,1,24
4,0.036988019943237305,94,0,16
4,0.005274057388305664,94,0,16
4,0.0015299320220947266,94,0,16
4,1.0069169998168945,94,0,17
4,0.0009961128234863281,94,1,17
4,0.03187298774719238,94,0,16
5,0,106,0,2
5,0.0007460117340087891,106,1,18
5,0.03798699378967285,94,0,16
5,0.0031499862670898438,265,0,24
5,0.0013418197631835938,94,1,16
5,0.017158031463623047,1514,1,16
5,0.0001590251922607422,1514,1,16
5,9.5367431640625e-07,242,1,24
5,0.0361940860748291,94,0,16
5,0.00046706199645996094,94,0,16
6,0,66,0,2
6,0.010986089706420898,66,1,18
6,8.106231689453125e-05,54,0,16
6,0.0001468658447265625,484,0,24
6,0.009824037551879883,60,1,16
6,0.0025191307067871094,541,1,24
6,0.0450899600982666,54,0,16
6,4.2737438678741455,54,0,17
6,0.013329029083251953,60,1,17
6,0.00026798248291015625,54,0,16
