src_ip,dst_ip,src_port,dst_port,flow_duration,packet_count,total_bytes,avg_packet_size
192.168.110.10,80.237.133.136,1152,80,1.8405934484742408,2.5649493574615367,7.826044013518965,5.345518968032331
192.168.110.9,80.237.133.136,43625,80,0.31999506750702594,2.3978952727983707,7.044032897274685,4.749270529961848
192.168.7.1,192.168.7.12,57933,80,0.07531894996261705,2.0794415416798357,6.137727054086234,4.204692619390966
2003:de:2016:125:fc36:8317:4e86:cb72,2003:de:2016:110::a12:443,7542,80,1.9337192663223792,2.833213344056216,8.411610428841172,5.6423502351377
216.66.80.30,193.24.227.12,60075,80,1.1717605005396958,2.3978952727983707,7.8709295967551425,5.571773731735836
216.66.80.30,193.24.227.12,60076,80,0.7603773012704178,2.772588722239781,8.789050713521046,6.083131735633806
216.66.80.30,193.24.227.12,55033,80,0.09276509833528686,2.3978952727983707,8.32457884513685,6.024173721517687
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba61,55996,80,0.15670625598909504,2.3978952727983707,7.5406215286571525,5.2428046566177775
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba60,35638,80,0.03718976508525517,2.3978952727983707,7.5406215286571525,5.2428046566177775
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba48,44708,80,0.13668314223156772,2.3978952727983707,7.5406215286571525,5.2428046566177775
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba61,56050,80,0.031020854502912865,2.3978952727983707,7.5406215286571525,5.2428046566177775
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba60,35688,80,0.1460620958240719,2.3978952727983707,7.540090320145325,5.242275975664412
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:e7::5f65:48c0,54858,80,0.13804123680220173,2.3978952727983707,7.5406215286571525,5.2428046566177775
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba48,44718,80,0.03560462656757321,2.3978952727983707,7.5406215286571525,5.2428046566177775
2001:470:765b:0:1c6e:18ae:ddb4:3bc1,2a02:26f0:6c00::210:ba48,44720,80,0.01817466173644513,2.3978952727983707,7.5406215286571525,5.2428046566177775
2600:1f14:a8b:502:ab14:8938:11c5:b75e,2001:470:765b:0:1c6e:18ae:ddb4:3bc1,41766,80,0.2816449490050445,2.3978952727983707,7.29505641646263,4.998562712861986
2600:3000:2710:300::1d,2001:470:765b:0:1c6e:18ae:ddb4:3bc1,42562,80,0.30267172938573345,2.4849066497880004,7.351799869057777,4.960298479934662
2a05:d014:531:8601:650c:f4b0:fea1:6f1d,2001:470:765b:0:1c6e:18ae:ddb4:3bc1,13902,80,0.009588851288343674,2.4849066497880004,7.353081920515432,4.9615723654572506
2a05:d014:531:8601:650c:f4b0:fea1:6f1d,2001:470:765b:0:1c6e:18ae:ddb4:3bc1,13904,80,0.008956968245283546,2.4849066497880004,7.347299700743164,4.955827057601261
2600:1f16:13c:c401:997b:eeb6:8474:2eb1,2001:470:765b:0:1c6e:18ae:ddb4:3bc1,32202,80,0.19392559140046167,2.3978952727983707,7.29641326877392,4.99991133073328
2001:470:1f0b:16b0:221:70ff:feb2:e6c,2001:470:765b:0:1c6e:18ae:ddb4:3bc1,42648,80,0.9428274912496546,2.3978952727983707,7.719129840906732,5.420534999272286
2001:470:1f0b:16b0::4646,2001:470:1f0b:16b0:6986:b8d4:3649:9cbe,62794,80,1.6778587018257416,2.3978952727983707,7.427738840532894,5.130490255904535
192.168.173.5,194.247.5.23,58482,80,1.6782151921403334,2.3978952727983707,7.309212365692763,5.012633296758929
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:16::215:1492,49671,80,0.00997793981561313,1.791759469228055,6.244166900663736,4.642465970731788
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49698,80,0.007158346419620972,1.9459101490553132,7.717351272185329,5.927814520031526
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49699,80,0.01962705166172749,2.0794415416798357,8.22121009392507,6.276911981758347
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49701,80,0.0257848800948767,2.0794415416798357,7.917536353943631,5.973809611869261
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49703,80,0.07875764983389712,2.0794415416798357,7.946263643580541,6.002475136056586
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49704,80,0.09383905261726114,2.0794415416798357,8.025189321890835,6.081239957777462
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49705,80,0.0746221769225031,2.0794415416798357,7.917536353943631,5.973809611869261
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49708,80,0.0503080331570204,2.0794415416798357,7.994632311431825,6.050743726407294
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49726,80,0.010224583195202728,2.0794415416798357,7.83241092718792,5.8888779583328805
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49727,80,0.011410689640186168,2.0794415416798357,7.854381210652365,5.910796644040527
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49728,80,0.2715610772963796,2.1972245773362196,7.884199933676039,5.807391457275221
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a02:26f0:3500:c8d::2c1a,49729,80,0.01208460318043797,2.0794415416798357,7.854381210652365,5.910796644040527
2a00:6020:ad0b:8381:15f6:aeec:61d9:205f,2a04:4e42:4e::684,49764,80,2.177365482978988,2.8903717578961645,8.137980454452139,5.309431841886578
