flow_id,iat,packet_length,direction,tcp_flags
0,0.0,66,0,2
0,0.014876127243041992,66,1,18
0,9.298324584960938e-05,54,0,16
1,0.0,74,0,2
1,0.005903005599975586,74,1,18
1,2.8848648071289062e-05,66,0,16
2,0.0,78,0,2
2,2.5033950805664062e-05,64,1,18
2,5.9604644775390625e-06,64,0,16
3,0.0,90,0,2
3,0.0004999637603759766,90,1,18
3,0.0002510547637939453,78,0,16
4,0.0,118,0,2
4,0.0008740425109863281,106,1,18
4,0.08262300491333008,94,0,16
5,0.0,118,0,2
5,0.0009760856628417969,106,1,18
5,0.039772987365722656,94,0,16
6,0.0,106,0,2
6,0.0007460117340087891,106,1,18
6,0.03798699378967285,94,0,16
7,0.0,94,0,2
7,0.0027320384979248047,86,1,18
7,0.00011801719665527344,74,0,16
8,0.0,94,0,2
8,0.002565145492553711,86,1,18
8,0.0001499652862548828,74,0,16
9,0.0,94,0,2
9,0.0026769638061523438,86,1,18
9,0.00015592575073242188,74,0,16
10,0.0,94,0,2
10,0.0027348995208740234,86,1,18
10,0.0001590251922607422,74,0,16
11,0.0,94,0,2
11,0.0030031204223632812,86,1,18
11,0.00019693374633789062,74,0,16
12,0.0,94,0,2
12,0.003020048141479492,86,1,18
12,0.00015282630920410156,74,0,16
13,0.0,94,0,2
13,0.002874135971069336,86,1,18
13,0.0001590251922607422,74,0,16
14,0.0,94,0,2
14,0.002805948257446289,86,1,18
14,0.0001518726348876953,74,0,16
15,0.0,94,0,2
15,0.00022792816162109375,86,1,18
15,0.16060113906860352,74,0,16
16,0.0,94,0,2
16,0.00013709068298339844,86,1,18
16,0.1749439239501953,74,0,16
17,0.0,94,0,2
17,0.00014591217041015625,86,1,18
17,0.0027141571044921875,74,0,16
18,0.0,94,0,2
18,0.0001380443572998047,86,1,18
18,0.002710103988647461,74,0,16
19,0.0,94,0,2
19,0.0002009868621826172,86,1,18
19,0.1043539047241211,74,0,16
20,0.0,94,0,2
20,0.008599042892456055,94,1,18
20,8.988380432128906e-05,86,0,16
21,0.0,86,0,2
21,0.00018477439880371094,86,1,18
21,0.008748054504394531,74,0,16
22,0.0,66,0,2
22,0.010986089706420898,66,1,18
22,8.106231689453125e-05,54,0,16
23,0.0,90,0,2
23,0.0030829906463623047,78,0,16
23,0.0002338886260986328,190,0,24
24,0.0,90,0,2
24,0.0020890235900878906,78,0,16
24,0.0001399517059326172,424,0,24
25,0.0,90,0,2
25,0.002479076385498047,78,0,16
25,0.001277923583984375,424,0,24
26,0.0,90,0,2
26,0.0032160282135009766,78,0,16
26,0.015184164047241211,424,0,24
27,0.0,90,0,2
27,0.0030488967895507812,78,0,16
27,0.039916038513183594,424,0,24
28,0.0,90,0,2
28,0.003889799118041992,78,0,16
28,0.05666399002075195,424,0,24
29,0.0,90,0,2
29,0.003673076629638672,78,0,16
29,0.02863907814025879,424,0,24
30,0.0,90,0,2
30,0.004608869552612305,78,0,16
30,0.009304046630859375,424,0,24
31,0.0,90,0,2
31,0.0052280426025390625,78,0,16
31,0.00011205673217773438,424,0,24
32,0.0,90,0,2
32,0.003158092498779297,78,0,16
32,0.0004119873046875,424,0,24
33,0.0,90,0,2
33,0.003679037094116211,78,0,16
33,6.604194641113281e-05,424,0,24
34,0.0,90,0,2
34,0.004293918609619141,78,0,16
34,0.00014400482177734375,424,0,24
35,0.0,90,0,2
35,0.0028731822967529297,78,0,16
35,0.00013780593872070312,435,0,24
