src_ip,dst_ip,packet_count,flow_duration,avg_packet_size,iat_mean,total_bytes
192.168.2.102,192.168.2.1,1.0986122886681098,0.010302693916363686,4.343805421853684,0.010302693916363686,5.030437921392435
192.168.2.102,192.168.2.1,1.0986122886681098,0.011566955494682658,4.639571612705423,0.011566955494682658,5.327876168789581
192.168.2.102,192.168.2.1,1.0986122886681098,0.003555644768149306,4.639571612705423,0.003555644768149306,5.327876168789581
192.168.2.102,192.168.2.1,1.0986122886681098,0.00983842365789315,4.418840607796598,0.00983842365789315,5.10594547390058
192.168.2.102,192.168.2.1,1.0986122886681098,0.012637768203853957,5.0072963928307415,0.012637768203853957,5.697093486505405
192.168.2.102,192.168.2.1,1.0986122886681098,0.005600238978319478,5.0072963928307415,0.005600238978319478,5.697093486505405
192.168.2.102,192.168.2.1,1.0986122886681098,0.00600202090432021,5.0072963928307415,0.00600202090432021,5.697093486505405
192.168.110.9,194.25.0.68,1.0986122886681098,0.002168686280324572,4.465908118654584,0.002168686280324572,5.153291594497779
192.168.110.9,194.25.0.68,1.0986122886681098,0.022598711748875986,4.465908118654584,0.022598711748875986,5.153291594497779
192.168.110.9,194.25.0.68,1.0986122886681098,0.007305337487870423,4.465908118654584,0.007305337487870423,5.153291594497779
192.168.110.9,194.25.0.68,1.0986122886681098,0.0020590074049726794,4.465908118654584,0.0020590074049726794,5.153291594497779
192.168.110.9,194.25.0.68,1.0986122886681098,0.008036657771186189,4.465908118654584,0.008036657771186189,5.153291594497779
192.168.110.9,8.8.8.8,1.0986122886681098,0.014262759357934553,4.465908118654584,0.014262759357934553,5.153291594497779
192.168.110.9,8.8.8.8,1.0986122886681098,0.013806203184662058,4.465908118654584,0.013806203184662058,5.153291594497779
192.168.110.9,8.8.8.8,1.0986122886681098,0.02939279357797032,4.465908118654584,0.02939279357797032,5.153291594497779
192.168.110.9,8.8.8.8,1.0986122886681098,0.029795776117105353,4.465908118654584,0.029795776117105353,5.153291594497779
